,Charging Power (kW)
1327,0.0
1328,0.0
1329,0.0
1330,0.0
1331,0.0
1332,0.0
1333,0.0
1334,0.0
1335,0.0
1336,0.0
1337,0.0
1338,0.0
1339,0.0
1340,0.0
1341,0.0
1342,0.45157902234038977
1343,0.6021053631205197
1344,0.8429475083687274
1345,0.9700586405830594
1346,1.0737545642315933
1347,1.1339651005436453
1348,1.1440001899289873
1349,0.9031580446807795
1350,0.7526317039006495
1351,0.5418948268084677
1352,0.4214737541843637
1353,0.3010526815602598
1354,0.21073687709218186
1355,0.12042107262410393
1356,0.07827369720566754
1357,0.06021053631205196
1358,0.01806316089361559
1359,0.01505263407801299
1360,0.006021053631205197
1361,0.0030105268156025984
1362,0.0
1363,0.0
1364,0.0
1365,0.0
1366,0.0
1367,0.0
1368,0.0
1369,0.0
1370,0.0
1371,0.0
1372,0.0
1373,0.0
1374,0.0
1375,0.0
1376,0.0
1377,0.0
1378,0.0
1379,0.0
1380,0.0
1381,0.0
1382,0.0
1383,0.0
1384,0.0
1385,0.0
1386,0.0
1387,0.0
1388,0.0
1389,0.0
1390,0.45157902234038977
1391,0.6021053631205197
1392,0.8429475083687274
1393,0.9700586405830594
1394,1.0737545642315933
1395,1.1339651005436453
1396,1.1440001899289873
1397,0.9031580446807795
1398,0.7526317039006495
1399,0.5418948268084677
1400,0.4214737541843637
1401,0.3010526815602598
1402,0.21073687709218186
1403,0.12042107262410393
1404,0.07827369720566754
1405,0.06021053631205196
1406,0.01806316089361559
1407,0.01505263407801299
1408,0.006021053631205197
1409,0.0030105268156025984
1410,0.0
1411,0.0
1412,0.0
1413,0.0
1414,0.0
1415,0.0
1416,0.0
1417,0.0
1418,0.0
1419,0.0
1420,0.0
1421,0.0
1422,0.0
1423,0.0
1424,0.0
1425,0.0
1426,0.0
1427,0.0
1428,0.0
1429,0.0
1430,0.0
1431,0.0
1432,0.0
1433,0.0
1434,0.0
1435,0.0
1436,0.0
1437,0.0
1438,0.45157902234038977
1439,0.6021053631205197
1440,0.8429475083687274
1441,0.9700586405830594
1442,1.0737545642315933
1443,1.1339651005436453
1444,1.1440001899289873
1445,0.9031580446807795
1446,0.7526317039006495
1447,0.5418948268084677
1448,0.4214737541843637
1449,0.3010526815602598
1450,0.21073687709218186
1451,0.12042107262410393
1452,0.07827369720566754
1453,0.06021053631205196
1454,0.01806316089361559
1455,0.01505263407801299
1456,0.006021053631205197
1457,0.0030105268156025984
1458,0.0
1459,0.0
1460,0.0
1461,0.0
1462,0.0
1463,0.0
1464,0.0
1465,0.0
1466,0.0
1467,0.0
1468,0.0
1469,0.0
1470,0.0
1471,0.0
1472,0.0
1473,0.0
1474,0.0
1475,0.0
1476,0.0
1477,0.0
1478,0.0
1479,0.0
1480,0.0
1481,0.0
1482,0.0
1483,0.0
1484,0.0
1485,0.0
1486,0.45157902234038977
1487,0.6021053631205197
1488,0.8429475083687274
1489,0.9700586405830594
1490,1.0737545642315933
1491,1.1339651005436453
1492,1.1440001899289873
1493,0.9031580446807795
1494,0.7526317039006495
1495,0.5418948268084677
1496,0.4214737541843637
1497,0.3010526815602598
1498,0.21073687709218186
1499,0.12042107262410393
1500,0.07827369720566754
1501,0.06021053631205196
1502,0.01806316089361559
1503,0.01505263407801299
1504,0.006021053631205197
1505,0.0030105268156025984
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.45157902234038977
1535,0.6021053631205197
1536,0.8429475083687274
1537,0.9700586405830594
1538,1.0737545642315933
1539,1.1339651005436453
1540,1.1440001899289873
1541,0.9031580446807795
1542,0.7526317039006495
1543,0.5418948268084677
1544,0.4214737541843637
1545,0.3010526815602598
1546,0.21073687709218186
1547,0.12042107262410393
1548,0.07827369720566754
1549,0.06021053631205196
1550,0.01806316089361559
1551,0.01505263407801299
1552,0.006021053631205197
1553,0.0030105268156025984
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
